lr_fpr,lr_tpr,tree_fpr,tree_tpr,rf_fpr,rf_tpr,svc_fpr,svc_tpr,gbc_fpr,gbc_tpr,knn_fpr,knn_tpr
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.0,0.09,0.25925925925925924,0.01,0.0,0.0,0.018518518518518517,0.01,0.0,0.0,0.037037037037037035
0.01,0.037037037037037035,0.2,0.5555555555555556,0.01,0.018518518518518517,0.0,0.037037037037037035,0.01,0.05555555555555555,0.0,0.1111111111111111
0.03,0.037037037037037035,0.35,0.8518518518518519,0.02,0.018518518518518517,0.01,0.037037037037037035,0.02,0.05555555555555555,0.02,0.18518518518518517
0.03,0.14814814814814814,0.5,0.9444444444444444,0.02,0.037037037037037035,0.01,0.1111111111111111,0.02,0.1111111111111111,0.06,0.24074074074074073
0.05,0.14814814814814814,0.56,0.9629629629629629,0.04,0.037037037037037035,0.02,0.1111111111111111,0.03,0.1111111111111111,0.1,0.2777777777777778
0.05,0.16666666666666666,0.88,0.9814814814814815,0.04,0.05555555555555555,0.02,0.12962962962962962,0.03,0.16666666666666666,0.13,0.48148148148148145
0.06,0.16666666666666666,1.0,1.0,0.05,0.05555555555555555,0.04,0.12962962962962962,0.05,0.16666666666666666,0.18,0.6296296296296297
0.06,0.3148148148148148,,,0.05,0.14814814814814814,0.04,0.25925925925925924,0.05,0.24074074074074073,0.25,0.7407407407407407
0.07,0.3148148148148148,,,0.06,0.14814814814814814,0.06,0.25925925925925924,0.06,0.24074074074074073,0.28,0.7962962962962963
0.07,0.3333333333333333,,,0.06,0.18518518518518517,0.06,0.3148148148148148,0.06,0.2962962962962963,0.37,0.8518518518518519
0.08,0.3333333333333333,,,0.07,0.18518518518518517,0.07,0.3148148148148148,0.08,0.2962962962962963,0.44,0.9074074074074074
0.08,0.35185185185185186,,,0.07,0.3333333333333333,0.07,0.3333333333333333,0.08,0.3333333333333333,0.53,0.9629629629629629
0.1,0.35185185185185186,,,0.09,0.3333333333333333,0.11,0.3333333333333333,0.09,0.3333333333333333,0.74,1.0
0.1,0.4074074074074074,,,0.09,0.35185185185185186,0.11,0.3888888888888889,0.09,0.35185185185185186,1.0,1.0
0.13,0.4074074074074074,,,0.1,0.35185185185185186,0.13,0.3888888888888889,0.1,0.35185185185185186,,
0.13,0.42592592592592593,,,0.1,0.4074074074074074,0.13,0.4444444444444444,0.1,0.37037037037037035,,
0.15,0.42592592592592593,,,0.12,0.4074074074074074,0.14,0.4444444444444444,0.11,0.37037037037037035,,
0.15,0.48148148148148145,,,0.12,0.4444444444444444,0.14,0.46296296296296297,0.11,0.3888888888888889,,
0.16,0.48148148148148145,,,0.13,0.4444444444444444,0.15,0.46296296296296297,0.13,0.3888888888888889,,
0.16,0.5,,,0.13,0.5,0.15,0.48148148148148145,0.13,0.4074074074074074,,
0.17,0.5,,,0.15,0.5,0.16,0.48148148148148145,0.14,0.4074074074074074,,
0.17,0.5555555555555556,,,0.15,0.5740740740740741,0.16,0.5555555555555556,0.14,0.48148148148148145,,
0.18,0.5555555555555556,,,0.16,0.5740740740740741,0.17,0.5555555555555556,0.15,0.48148148148148145,,
0.18,0.5925925925925926,,,0.16,0.5925925925925926,0.17,0.7222222222222222,0.15,0.5370370370370371,,
0.19,0.5925925925925926,,,0.18,0.5925925925925926,0.19,0.7222222222222222,0.17,0.5370370370370371,,
0.19,0.6666666666666666,,,0.18,0.6481481481481481,0.19,0.7962962962962963,0.17,0.6666666666666666,,
0.2,0.6666666666666666,,,0.2,0.6481481481481481,0.23,0.7962962962962963,0.18,0.6666666666666666,,
0.2,0.6851851851851852,,,0.2,0.6666666666666666,0.23,0.8148148148148148,0.18,0.7407407407407407,,
0.22,0.6851851851851852,,,0.21,0.6666666666666666,0.25,0.8148148148148148,0.19,0.7407407407407407,,
0.22,0.7592592592592593,,,0.21,0.7777777777777778,0.25,0.8518518518518519,0.19,0.7777777777777778,,
0.25,0.7592592592592593,,,0.23,0.7777777777777778,0.3,0.8518518518518519,0.22,0.7777777777777778,,
0.25,0.7777777777777778,,,0.23,0.8703703703703703,0.3,0.8703703703703703,0.22,0.7962962962962963,,
0.27,0.7777777777777778,,,0.27,0.8703703703703703,0.34,0.8703703703703703,0.23,0.7962962962962963,,
0.27,0.7962962962962963,,,0.27,0.8888888888888888,0.34,0.8888888888888888,0.23,0.8518518518518519,,
0.29,0.7962962962962963,,,0.32,0.8888888888888888,0.35,0.8888888888888888,0.25,0.8518518518518519,,
0.29,0.8148148148148148,,,0.32,0.9074074074074074,0.35,0.9074074074074074,0.25,0.8703703703703703,,
0.3,0.8148148148148148,,,0.37,0.9074074074074074,0.42,0.9074074074074074,0.31,0.8703703703703703,,
0.3,0.8333333333333334,,,0.37,0.9259259259259259,0.42,0.9259259259259259,0.31,0.8888888888888888,,
0.31,0.8333333333333334,,,0.53,0.9259259259259259,0.47,0.9259259259259259,0.4,0.8888888888888888,,
0.31,0.8518518518518519,,,0.53,0.9444444444444444,0.47,0.9444444444444444,0.4,0.9259259259259259,,
0.33,0.8518518518518519,,,0.59,0.9444444444444444,0.54,0.9444444444444444,0.43,0.9259259259259259,,
0.33,0.8703703703703703,,,0.59,0.9629629629629629,0.54,0.9629629629629629,0.43,0.9444444444444444,,
0.39,0.8703703703703703,,,0.67,0.9629629629629629,0.6,0.9629629629629629,0.52,0.9444444444444444,,
0.39,0.9074074074074074,,,0.67,1.0,0.6,0.9814814814814815,0.52,0.9629629629629629,,
0.4,0.9074074074074074,,,1.0,1.0,0.88,0.9814814814814815,0.57,0.9629629629629629,,
0.4,0.9259259259259259,,,,,0.88,1.0,0.57,0.9814814814814815,,
0.48,0.9259259259259259,,,,,1.0,1.0,0.69,0.9814814814814815,,
0.48,0.9629629629629629,,,,,,,0.69,1.0,,
0.54,0.9629629629629629,,,,,,,1.0,1.0,,
0.54,0.9814814814814815,,,,,,,,,,
0.87,0.9814814814814815,,,,,,,,,,
0.87,1.0,,,,,,,,,,
1.0,1.0,,,,,,,,,,
